zip_key,count_participants,count_female,percent_female,count_male,percent_male,count_gender_unknown,percent_gender_unknown,count_gender_total,percent_gender_total,count_pacific_islander,percent_pacific_islander,count_hispanic_latino,percent_hispanic_latino,count_american_indian,percent_american_indian,count_asian_non_hispanic,percent_asian_non_hispanic,count_white_non_hispanic,percent_white_non_hispanic,count_black_non_hispanic,percent_black_non_hispanic,count_other_ethnicity,percent_other_ethnicity,count_ethnicity_unknown,percent_ethnicity_unknown,count_ethnicity_total,percent_ethnicity_total,count_permanent_resident_alien,percent_permanent_resident_alien,count_us_citizen,percent_us_citizen,count_other_citizen_status,percent_other_citizen_status,count_citizen_status_unknown,percent_citizen_status_unknown,count_citizen_status_total,percent_citizen_status_total,count_receives_public_assistance,percent_receives_public_assistance,count_nreceives_public_assistance,percent_nreceives_public_assistance,count_public_assistance_unknown,percent_public_assistance_unknown,count_public_assistance_total,percent_public_assistance_total,total_biz_licenses,biz_density,asian_non_hispanic,white_non_hispanic,black_non_hispanic,hispanic_latino,asian_licenses,white_licenses,black_licenses,hispanic_licenses,etnia_raw,porcentaje_etnia,etnia_predominante,industria_lider
10467,106,65,0.61,41,0.39,0,0.0,106,100.0,0,0.0,51,0.48,1,0.01,4,0.04,1,0.01,47,0.44,2,0.02,0,0.0,106,100.0,10,0.09,94,0.89,2,0.02,0,0.0,106,100.0,33,0.31,73,0.69,0,0.0,106,100.0,1651,15.575471698113208,66.0,17.0,726.0,792.0,66.0,17.0,726.0,792.0,percent_hispanic_latino,0.48,Hispanic_Latino,Tobacco Retail Dealer
11218,111,97,0.87,14,0.13,0,0.0,111,100.0,0,0.0,1,0.01,0,0.0,3,0.03,95,0.86,6,0.05,6,0.05,0,0.0,111,100.0,8,0.07,102,0.92,1,0.01,0,0.0,111,100.0,51,0.46,60,0.54,0,0.0,111,100.0,1761,15.864864864864865,53.0,1514.0,88.0,18.0,53.0,1514.0,88.0,18.0,percent_white_non_hispanic,0.86,White,Home Improvement Contractor
11219,214,182,0.85,32,0.15,0,0.0,214,100.0,0,0.0,1,0.0,0,0.0,1,0.0,205,0.96,0,0.0,6,0.03,1,0.0,214,99.0,2,0.01,212,0.99,0,0.0,0,0.0,214,100.0,112,0.52,102,0.48,0,0.0,214,100.0,1381,6.453271028037383,0.0,1326.0,0.0,0.0,0.0,1326.0,0.0,0.0,percent_white_non_hispanic,0.96,White,Home Improvement Contractor
11223,109,53,0.49,56,0.51,0,0.0,109,100.0,0,0.0,1,0.01,0,0.0,7,0.06,95,0.87,1,0.01,5,0.05,0,0.0,109,100.0,6,0.06,102,0.94,1,0.01,0,0.0,109,100.0,20,0.18,89,0.82,0,0.0,109,100.0,1795,16.46788990825688,108.0,1562.0,18.0,18.0,108.0,1562.0,18.0,18.0,percent_white_non_hispanic,0.87,White,Home Improvement Contractor
11230,248,194,0.78,54,0.22,0,0.0,248,100.0,0,0.0,1,0.0,0,0.0,7,0.03,216,0.87,2,0.01,17,0.07,5,0.02,248,100.0,3,0.01,245,0.99,0,0.0,0,0.0,248,100.0,42,0.17,206,0.83,0,0.0,248,100.0,1476,5.951612903225806,44.0,1284.0,15.0,0.0,44.0,1284.0,15.0,0.0,percent_white_non_hispanic,0.87,White,Home Improvement Contractor
12428,124,74,0.6,50,0.4,0,0.0,124,100.0,2,0.02,1,0.01,0,0.0,0,0.0,117,0.94,0,0.0,4,0.03,0,0.0,124,100.0,0,0.0,124,1.0,0,0.0,0,0.0,124,100.0,71,0.57,53,0.43,0,0.0,124,100.0,3,0.024193548387096774,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,percent_white_non_hispanic,0.94,White,Home Improvement Contractor
12734,252,170,0.67,82,0.33,0,0.0,252,100.0,0,0.0,0,0.0,0,0.0,0,0.0,243,0.96,0,0.0,4,0.02,5,0.02,252,100.0,0,0.0,252,1.0,0,0.0,0,0.0,252,100.0,61,0.24,191,0.76,0,0.0,252,100.0,2,0.007936507936507936,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,percent_white_non_hispanic,0.96,White,Home Improvement Contractor
12754,134,64,0.48,70,0.52,0,0.0,134,100.0,2,0.01,0,0.0,0,0.0,0,0.0,127,0.95,0,0.0,4,0.03,1,0.01,134,100.0,1,0.01,133,0.99,0,0.0,0,0.0,134,100.0,27,0.2,107,0.8,0,0.0,134,100.0,3,0.022388059701492536,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,percent_white_non_hispanic,0.95,White,Home Improvement Contractor
12779,242,183,0.76,59,0.24,0,0.0,242,100.0,0,0.0,0,0.0,0,0.0,0,0.0,239,0.99,0,0.0,3,0.01,0,0.0,242,100.0,1,0.0,241,1.0,0,0.0,0,0.0,242,100.0,155,0.64,87,0.36,0,0.0,242,100.0,1,0.004132231404958678,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,percent_white_non_hispanic,0.99,White,Scale Dealer Repairer
12783,201,66,0.33,135,0.67,0,0.0,201,100.0,0,0.0,0,0.0,2,0.01,0,0.0,195,0.97,0,0.0,3,0.01,1,0.0,201,99.0,4,0.02,197,0.98,0,0.0,0,0.0,201,100.0,77,0.38,124,0.62,0,0.0,201,100.0,1,0.004975124378109453,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,percent_white_non_hispanic,0.97,White,Home Improvement Contractor
12789,272,115,0.42,157,0.58,0,0.0,272,100.0,0,0.0,0,0.0,0,0.0,0,0.0,262,0.96,0,0.0,6,0.02,4,0.01,272,99.0,1,0.0,271,1.0,0,0.0,0,0.0,272,100.0,70,0.26,202,0.74,0,0.0,272,100.0,1,0.003676470588235294,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,percent_white_non_hispanic,0.96,White,Home Improvement Contractor
